2θ (°),I (count),σ (count),,
14.930,364,19.1,,
14.945,363,19.1,,
14.960,374,19.3,,
14.975,404,20.1,,
14.990,400,20.0,,
15.005,442,21.0,,
15.020,471,21.7,,
15.035,530,23.0,,
15.050,601,24.5,,
15.065,705,26.6,,
15.080,774,27.8,,
15.095,932,30.5,,
15.110,1139,33.7,,
15.125,1375,37.1,,
15.140,1655,40.7,,
15.155,2014,44.9,,
15.170,2531,50.3,,
15.185,3209,56.6,,
15.200,4130,64.3,,
15.215,5285,72.7,,
15.230,6520,80.7,,
15.245,7284,85.3,,
15.260,7066,84.1,,
15.275,5971,77.3,,
15.290,4242,65.1,,
15.305,2663,51.6,,
15.320,1593,39.9,,
15.335,1021,32.0,,
15.350,739,27.2,,
15.365,566,23.8,,
15.380,456,21.4,,
15.395,441,21.0,,
15.410,413,20.3,,
15.425,412,20.3,,
15.440,384,19.6,,
15.455,356,18.9,,
15.470,374,19.3,,
15.485,357,18.9,,
15.500,342,18.5,,
15.515,344,18.5,,
15.530,326,18.1,,
15.545,350,18.7,,
15.560,354,18.8,,
15.575,336,18.3,,
15.590,351,18.7,,
15.605,336,18.3,,
15.620,352,18.8,,
15.635,339,18.4,,
15.650,292,17.1,,
15.665,327,18.1,,
15.680,320,17.9,,
15.695,316,17.8,,
15.710,343,18.5,,
15.725,337,18.4,,
15.740,315,17.7,,
15.755,313,17.7,,
15.770,348,18.7,,
15.785,336,18.3,,
15.800,324,18.0,,
15.815,303,17.4,,
15.830,305,17.5,,
15.845,334,18.3,,
15.860,340,18.4,,
15.875,309,17.6,,
15.890,333,18.2,,
15.905,319,17.9,,
15.920,313,17.7,,
15.935,320,17.9,,
15.950,348,18.7,,
15.965,317,17.8,,
15.980,336,18.3,,
15.995,326,18.1,,
16.010,323,18.0,,
16.025,312,17.7,,
16.040,325,18.0,,
16.055,311,17.6,,
16.070,316,17.8,,
16.085,337,18.4,,
16.100,332,18.2,,
16.115,332,18.2,,
16.130,339,18.4,,
16.145,315,17.7,,
16.160,330,18.2,,
16.175,325,18.0,,
16.190,309,17.6,,
